State or union territory,District,Population,Increase,Sex Ratio,Literacy,Density
Gujarat,Thane,11060148,0.3601,886,0.8453,1157
Gujarat,Pune,9429408,0.3037,915,0.8615,603
Gujarat,Mumbai Suburban,9356962,0.0829,860,0.8991,20980
Gujarat,Nashik,6107187,0.223,934,0.8231,393
Gujarat,Nagpur,4653570,0.144,951,0.8839,470
Gujarat,Ahmadnagar,4543159,0.1244,939,0.7905,266
Gujarat,Solapur,4317756,0.1216,938,0.7702,290
Gujarat,Jalgaon,4229917,0.1486,925,0.782,360
Gujarat,Kolhapur,3876001,0.1001,957,0.8151,504
Gujarat,Aurangabad,3701282,0.2776,923,0.7902,366
Gujarat,Nanded,3361292,0.1686,943,0.7545,319
Gujarat,Mumbai City,3085411,-0.0757,832,0.8921,19652
Gujarat,Satara,3003741,0.0693,988,0.8287,287
Gujarat,Amravati,2888445,0.1079,951,0.8738,237
Gujarat,Sangli,2822143,0.0924,966,0.8148,329
Gujarat,Yavatmal,2772348,0.1278,952,0.8282,204
Gujarat,Raigarh,2634200,0.1931,959,0.8314,368
Gujarat,Buldana,2586258,0.1585,934,0.834,268
Gujarat,Bid,2585049,0.1961,916,0.7699,242
Gujarat,Latur,2454196,0.1797,928,0.7726,343
Gujarat,Chandrapur,2204307,0.0643,961,0.8001,193
Gujarat,Dhule,2050862,0.2008,946,0.728,285
Gujarat,Jalna,1959046,0.2146,937,0.7152,254
Gujarat,Parbhani,1836086,0.2019,947,0.7334,295
Gujarat,Akola,1813906,0.1127,946,0.8805,320
Gujarat,Osmanabad,1657576,0.115,924,0.7844,219
Gujarat,Nandurbar,1648295,0.2566,978,0.6438,277
Gujarat,Ratnagiri,1615069,-0.0482,1122,0.8218,197
Gujarat,Gondiya,1322507,0.1014,999,0.8495,253
Gujarat,Wardha,1300774,0.0518,946,0.8699,206
Gujarat,Bhandara,1200334,0.0565,982,0.8376,294
Gujarat,Washim,1197160,0.1734,930,0.8325,244
Gujarat,Hingoli,1177345,0.1927,942,0.7817,244
Gujarat,Gadchiroli,1072942,0.1058,982,0.7436,74
Gujarat,Sindhudurg,849651,-0.0221,1036,0.8556,163
Maharashtra,Thane,11060148,0.3601,886,0.8453,1157
Maharashtra,Pune,9429408,0.3037,915,0.8615,603
Maharashtra,Mumbai Suburban,9356962,0.0829,860,0.8991,20980
Maharashtra,Nashik,6107187,0.223,934,0.8231,393
Maharashtra,Nagpur,4653570,0.144,951,0.8839,470
