State or union territory,Population,Decadal growth(2001–2011),Rural population,Urban population,Area[16],Sex ratio
Uttar Pradesh,199812341,20.20%,155317278,44495063,"240,928 km2 (93,023 sq mi)",912
Maharashtra,112374333,20.00%,61556074,50818259,"307,713 km2 (118,809 sq mi)",929
Bihar,104099452,25.40%,92341436,11758016,"94,163 km2 (36,357 sq mi)",918
West Bengal,91276115,13.80%,62183113,29093002,"88,752 km2 (34,267 sq mi)",953
Madhya Pradesh,72626809,16.30%,52557404,20069405,"308,245 km2 (119,014 sq mi)",931
Tamil Nadu,72147030,15.60%,37229590,34917440,"130,058 km2 (50,216 sq mi)",996
Rajasthan,68548437,21.30%,51500352,17048085,"342,239 km2 (132,139 sq mi)",928
Karnataka,61095297,15.60%,37469335,23625962,"191,791 km2 (74,051 sq mi)",973
Gujarat,60439692,19.30%,34694609,25745083,"196,024 km2 (75,685 sq mi)",919
Andhra Pradesh,49577103,11.00%,34966693,14610410,"162,968 km2 (62,922 sq mi)",993
Odisha,41974219,14.00%,34970562,7003656,"155,707 km2 (60,119 sq mi)",979
Telangana,35003674,13.58%,21395009,13608665,"112,077 km2 (43,273 sq mi)",988
Kerala,33406061,4.90%,17471135,15934926,"38,863 km2 (15,005 sq mi)",1084
Jharkhand,32988134,22.40%,25055073,7933061,"79,714 km2 (30,778 sq mi)",948
Assam,31205576,17.10%,26807034,4398542,"78,438 km2 (30,285 sq mi)",954
Punjab,27743338,13.90%,17344192,10399146,"50,362 km2 (19,445 sq mi)",895
Chhattisgarh,25545198,22.60%,19607961,5937237,"135,191 km2 (52,198 sq mi)",991
Haryana,25351462,19.90%,16509359,8842103,"44,212 km2 (17,070 sq mi)",879
Uttarakhand,10086292,18.80%,7036954,3049338,"53,483 km2 (20,650 sq mi)",963
Himachal Pradesh,6864602,12.90%,6176050,688552,"55,673 km2 (21,495 sq mi)",972
Tripura,3673917,14.80%,2712464,961453,"10,486 km2 (4,049 sq mi)",960
Meghalaya,2966889,27.90%,2371439,595450,"22,429 km2 (8,660 sq mi)",989
Manipur,2570390,18.60%,1793875,776515,"22,327 km2 (8,621 sq mi)",992
Nagaland,1978502,−0.6%,1407536,570966,"16,579 km2 (6,401 sq mi)",931
Goa,1458545,8.20%,551731,906814,"3,702 km2 (1,429 sq mi)",973
Arunanchal Pradesh,1383727,26.00%,1066358,317369,"83,743 km2 (32,333 sq mi)",938
Mizoram,1097206,23.50%,525435,571771,"21,081 km2 (8,139 sq mi)",976
Sikkim,610577,12.90%,456999,153578,"7,096 km2 (2,740 sq mi)",890
NCT of Delhi,16787941,21.20%,419042,16368899,"1,484 km2 (573 sq mi)",868
Jammu & Kashmir,12267032,23.60%,9064220,3202812,"42,241 km2 (16,309 sq mi)[d]",890
Puducherry,1247953,28.10%,395200,852753,479 km2 (185 sq mi),1037
Chandigarh,1055450,17.20%,28991,1026459,114 km2 (44 sq mi),818
Dadara & Nagar Havelli,585764,55.10%,243510,342254,603 km2 (233 sq mi),711
Daman & Diu,585764,55.10%,243510,342254,603 km2 (233 sq mi),711
Andaman & Nicobar Island,380581,6.90%,237093,143488,"8,249 km2 (3,185 sq mi)",876
Lakshadweep,64473,6.30%,14141,50332,32 km2 (12 sq mi),946
